,sepal length (cm),sepal length mean,sepal length median,sepal length std,sepal width (cm),sepal width mean,sepal width median,sepal width std,petal length (cm),petal length mean,petal length median,petal length std,petal width (cm),petal width mean,petal width median,petal width std
0,5.1,10.943333333333333,10.899999999999999,10.943333333333333,3.5,6.557333333333334,6.5,3.935866284936698,1.4,5.158,5.75,5.158,0.2,3.257333333333334,3.2,0.6358662849366983
1,4.9,10.743333333333334,10.7,10.743333333333334,3.0,6.057333333333334,6.0,3.435866284936698,1.4,5.158,5.75,5.158,0.2,3.257333333333334,3.2,0.6358662849366983
2,4.7,10.543333333333333,10.5,10.543333333333333,3.2,6.257333333333333,6.2,3.6358662849366983,1.3,5.058000000000001,5.6499999999999995,5.058000000000001,0.2,3.257333333333334,3.2,0.6358662849366983
3,4.6,10.443333333333333,10.399999999999999,10.443333333333333,3.1,6.157333333333334,6.1,3.535866284936698,1.5,5.258000000000001,5.85,5.258000000000001,0.2,3.257333333333334,3.2,0.6358662849366983
4,5.0,10.843333333333334,10.8,10.843333333333334,3.6,6.657333333333334,6.6,4.035866284936699,1.4,5.158,5.75,5.158,0.2,3.257333333333334,3.2,0.6358662849366983
5,5.4,11.243333333333334,11.2,11.243333333333334,3.9,6.957333333333334,6.9,4.3358662849366985,1.7,5.458,6.05,5.458,0.4,3.4573333333333336,3.4,0.8358662849366982
6,4.6,10.443333333333333,10.399999999999999,10.443333333333333,3.4,6.457333333333334,6.4,3.835866284936698,1.4,5.158,5.75,5.158,0.3,3.3573333333333335,3.3,0.7358662849366981
7,5.0,10.843333333333334,10.8,10.843333333333334,3.4,6.457333333333334,6.4,3.835866284936698,1.5,5.258000000000001,5.85,5.258000000000001,0.2,3.257333333333334,3.2,0.6358662849366983
8,4.4,10.243333333333334,10.2,10.243333333333334,2.9,5.957333333333334,5.9,3.335866284936698,1.4,5.158,5.75,5.158,0.2,3.257333333333334,3.2,0.6358662849366983
9,4.9,10.743333333333334,10.7,10.743333333333334,3.1,6.157333333333334,6.1,3.535866284936698,1.5,5.258000000000001,5.85,5.258000000000001,0.1,3.1573333333333338,3.1,0.5358662849366982
